review_id,rating_date,employee_length,employee_status,employee_type,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,career_opportunities_rating,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_senior_leadership,rating_compensation_benefits,summary,sentiment_polarity,sentiment_subjectivity,sentiment_label
80,2025-01-28T00:00:00.000Z,2,REGULAR,Former employees,NAN,NAN,NAN,0,0,4,0,,"Chattanooga, TN",Warehouse Packer,,job hard people friendly helpful,12 hour work days busy times,0,0,job hard people friendly helpful 12 hour work days busy times,0.06111111111,0.4472222222,negative
81,2025-01-23T00:00:00.000Z,4,REGULAR,Former employees,NEGATIVE,APPROVE,POSITIVE,2,3,2,1,,"Mississauga, ON",Whs Specialist,,fast paced challenging great learning opportunities great overall benefits day 1,hectic hours little flexibility pay structure call culture leads internal fights show better,2,3,fast paced challenging great learning opportunities great overall benefits day 1 hectic hours little flexibility pay structure call culture leads internal fights show better,0.3265625,0.5125,positive
83,2025-01-16T00:00:00.000Z,1,PART_TIME,"Current employee, less than 1 year",NAN,NAN,NAN,0,0,5,0,,Euskirchen,Sortiermitarbeiter,,gute leitungen gute mitarbeitern gute arbeit,es gibt keine kontras für der arbeit,0,0,gute leitungen gute mitarbeitern gute arbeit es gibt keine kontras für der arbeit,0,0,negative
84,2025-01-15T00:00:00.000Z,0,PART_TIME,Former employee,NAN,NAN,NAN,0,0,3,0,,"Warrington, North West England, England",FC Associate,,develops strong work ethic employees,consideration human feeling within workplace,0,0,develops strong work ethic employees consideration human feeling within workplace,0.2166666667,0.4166666667,positive
85,2025-01-11T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",POSITIVE,NO_OPINION,POSITIVE,4,4,3,5,,"Hamilton, ON",Associate,eliminate hiring freeze,made mistake leaving never hard job well worth,cant get rehired arent hiring last,3,4,made mistake leaving never hard job well worth cant get rehired arent hiring last,0.1486111111,0.2361111111,positive
86,2025-01-11T00:00:00.000Z,2,REGULAR,Former employees,NAN,NAN,NEGATIVE,2,3,3,1,,"Dallas, TX",Associate,,pay bad paid weekly,work like dog regardless age ability retention rate ridiculous managers always quit moved around,3,3,pay bad paid weekly work like dog regardless age ability retention rate ridiculous managers always quit moved around,-0.5166666667,0.8333333333,negative
87,2025-01-11T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,5,5,3,3,,"Huntley, IL",Palletizer,move people around get break positions give equal work everyone manager favors groups people,work friends sometimes take time job comes benefits,lot work body depending you’re placed you’re thing 10 hours straight lifting heavy heavy boxes,2,5,work friends sometimes take time job comes benefits lot work body depending you’re placed you’re thing 10 hours straight lifting heavy heavy boxes,-0.06666666667,0.4666666667,negative
88,2025-01-10T00:00:00.000Z,0,PART_TIME,Current employee,NAN,NAN,NAN,3,4,3,2,,"Edison, NJ",Stower,,make hours good pay free food sometimes,receptive brain mush boring physically mentally draining,3,3,make hours good pay free food sometimes receptive brain mush boring physically mentally draining,2.08E-17,0.65,negative
89,2025-01-10T00:00:00.000Z,4,REGULAR,Current employees,POSITIVE,APPROVE,NEGATIVE,4,4,3,4,,"Hamilton, ON",Associate,kind,benefit vacation tpo,big loads hard hours long,4,4,benefit vacation tpo big loads hard hours long,-0.1138888889,0.3472222222,negative
90,2025-01-10T00:00:00.000Z,2,REGULAR,Former employees,NEGATIVE,DISAPPROVE,NEGATIVE,1,4,3,3,,"Grimes, IA",Associate,,ok money good supervisors swag bucks,heavy lifting safety concern dont expect care pay injuries,2,2,ok money good supervisors swag bucks heavy lifting safety concern dont expect care pay injuries,0.3333333333,0.5333333333,positive
91,2025-01-09T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NAN,NAN,NAN,0,0,4,0,,"Wilmington, DE",Fulfillment Center Warehouse Associate,streamline workflows reduce strain peak seasons enhance recognition programs boost morale provide better training new current associates act employee feedback improve job satisfaction,competitive pay benefits healthcare 401k stock options opportunities career advancement skill development fastpaced engaging work environment supportive team culture approachable management job stability global company,physically demanding especially peak seasons long shifts limited break times fluctuating workload sometimes stressful noisy warehouse environment,0,0,competitive pay benefits healthcare 401k stock options opportunities career advancement skill development fastpaced engaging work environment supportive team culture approachable management job stability global company physically demanding especially peak seasons long shifts limited break times fluctuating workload sometimes stressful noisy warehouse environment,0.1112244898,0.4836734694,positive
92,2025-01-08T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,1,1,2,1,,"Monroe, OH",Cherry Picker,stop flirting employees trying get way,pay good that’s pretty much,it’s lot drama it’s know wanna even get different roll still paid,1,5,pay good that’s pretty much it’s lot drama it’s know wanna even get different roll still paid,0.2875,0.6,positive
93,2025-01-08T00:00:00.000Z,1,PART_TIME,"Current employee, less than 1 year",NAN,NAN,POSITIVE,4,4,4,5,,"Lubbock, TX",Seasonal Associate,,job repetitive relatively easy learn hr onsite helpful,job physically demanding get used isnt bad work ethic varies greatly hard work appreciated besides compliments managers,3,4,job repetitive relatively easy learn hr onsite helpful job physically demanding get used isnt bad work ethic varies greatly hard work appreciated besides compliments managers,-0.1013888889,0.4224206349,negative
94,2025-01-03T00:00:00.000Z,2,REGULAR,Former employees,POSITIVE,DISAPPROVE,NEGATIVE,3,4,3,2,,"Orlando, FL",Warehouse Associate,stowers waterspiders indirect role really need little bit directionlabor tracking,decent pay type work great benefits insurance 401k company stock educationcareer choice generous timeoff policy plenty people get know people person,physically demanding keeping job depends rate rate depend waterspider may care enough workgood work make rate stay bottom 5,3,4,decent pay type work great benefits insurance 401k company stock educationcareer choice generous timeoff policy plenty people get know people person physically demanding keeping job depends rate rate depend waterspider may care enough workgood work make rate stay bottom 5,0.2416666667,0.5148809524,positive
95,2025-01-02T00:00:00.000Z,0,PART_TIME,Current employee,NAN,NAN,NAN,1,5,3,5,,"Robbinsville, NJ",Warehouse Sortation Associate,,pays bills guess,flex flex thing really annoying,2,3,pays bills guess flex flex thing really annoying,-0.8,0.9,negative
96,2025-01-01T00:00:00.000Z,4,REGULAR,Former employees,NEUTRAL,NO_OPINION,POSITIVE,4,4,3,4,,"Etna, OH",AA(Amazon Associate),management keeps rotating,work terms,heavy items slow season,3,3,work terms heavy items slow season,-0.25,0.45,negative
97,2024-12-29T00:00:00.000Z,1,CONTRACT,"Current employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,5,5,5,5,,"Manchester, England",Warehouse Fulfillment Associate,management good,good nice culture,need improve salary range,5,5,good nice culture need improve salary range,0.65,0.8,positive
98,2024-12-29T00:00:00.000Z,0,PART_TIME,Former employee,NAN,NAN,POSITIVE,0,0,5,0,,"Dallas, TX",ICQA Associate,stay cat walk,benefits starts day1,standing long period times short lunches,0,0,benefits starts day1 standing long period times short lunches,-0.025,0.35,negative
99,2024-12-27T00:00:00.000Z,2,PART_TIME,Former employees,NEUTRAL,NO_OPINION,NEGATIVE,2,5,2,3,,"Greenfield, IN",Sorter Loader,,pay good time accumulating every shift nice,really didn’t care workers worked bathroom breaks like acceptable,3,2,pay good time accumulating every shift nice really didn’t care workers worked bathroom breaks like acceptable,0.5,0.6,positive
100,2024-12-25T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NEGATIVE,DISAPPROVE,NEGATIVE,1,5,1,2,,"Orlando, FL",Driver Associate,dont tell incoming employees youll offer bonuses say sike get hired,simple 4 day work week,10 hour shifts deal heat rain,1,1,simple 4 day work week 10 hour shifts deal heat rain,0,0.3571428571,negative
101,2024-12-25T00:00:00.000Z,0,PART_TIME,Current employee,POSITIVE,APPROVE,POSITIVE,2,4,3,3,,,Associate,,decent pay job nothing crazy,part time get 15 mins break,3,2,decent pay job nothing crazy part time get 15 mins break,-0.2166666667,0.7833333333,negative
102,2024-12-17T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,5,5,5,5,,"Scarborough, ON",Warehouse Associate,,gain alot knowledge,ready stand whole shift,5,5,gain alot knowledge ready stand whole shift,0.2,0.45,positive
103,2024-12-17T00:00:00.000Z,20,REGULAR,Current employees,NAN,NAN,POSITIVE,5,5,5,5,,"Charleston, TN",Human Resource Associate Partner,,mutiple time options average health insurance options,small department lot room move without moving,5,4,mutiple time options average health insurance options small department lot room move without moving,-0.2,0.4,negative
105,2024-12-16T00:00:00.000Z,4,REGULAR,Current employees,NAN,NAN,NAN,1,1,1,1,,"San Bernardino, CA",Quality Control,,lots overtime worked 60hoursweek,cons pros website doesnt allow copy response,1,1,lots overtime worked 60hoursweek cons pros website doesnt allow copy response,0,0,negative
106,2024-12-15T00:00:00.000Z,2,PART_TIME,Current employees,POSITIVE,DISAPPROVE,POSITIVE,3,4,4,3,,"Sparrows Point, MD",Associate,,freedom opportunities career choice decent pay,physically tiring poor training enough benefits,3,3,freedom opportunities career choice decent pay physically tiring poor training enough benefits,-0.05833333333,0.4773809524,negative
108,2024-12-14T00:00:00.000Z,2,REGULAR,Current employees,POSITIVE,APPROVE,POSITIVE,3,4,5,4,,"St. Thomas, ON",Associate,,good pay rate associates,lot internal politics amazon warehouses,5,5,good pay rate associates lot internal politics amazon warehouses,0.35,0.3,positive
109,2024-12-12T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0,0,5,0,,"Council Bluffs, IA",Associate,,good place start warehouse job,temperature little chilly,0,0,good place start warehouse job temperature little chilly,-0.02916666667,0.6666666667,negative
110,2024-12-11T00:00:00.000Z,2,REGULAR,Former employees,NAN,NAN,NAN,0,0,3,0,,"Jeffersonville, IN",ICQA Associate,,pto work every night,lots turn monotonous,0,0,pto work every night lots turn monotonous,0,0,negative
111,2024-12-08T00:00:00.000Z,4,REGULAR,Former employees,NAN,NAN,NAN,5,5,4,4,,"Goodyear, AZ",Warehouse Worker,,really good benefits,jobs get overwhelming,4,5,really good benefits jobs get overwhelming,0.6,0.8,positive
112,2024-12-07T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0,0,4,0,,"Leeds, England",Warehouse Associate,,easy much weight handle,long shifts stationed one place,0,0,easy much weight handle long shifts stationed one place,0.1944444444,0.4777777778,positive
113,2024-12-05T00:00:00.000Z,4,REGULAR,Current employees,NAN,NAN,NEGATIVE,2,3,3,1,,"Edmonton, AB",Associate,,good money better average job,favouritism appreciation work you’ll get less work less give,3,3,good money better average job favouritism appreciation work you’ll get less work less give,0.1433333333,0.3266666667,positive
114,2024-12-04T00:00:00.000Z,9,REGULAR,Current employees,POSITIVE,NO_OPINION,POSITIVE,3,5,3,1,,"Windsor, CT",Packer,,fast advancements great benefits,high turnover much accountability long hours holiday season,3,3,fast advancements great benefits high turnover much accountability long hours holiday season,0.262,0.498,positive
115,2024-12-03T00:00:00.000Z,2,PART_TIME,Current employees,POSITIVE,APPROVE,POSITIVE,3,3,3,3,,"Avenel, NJ",FC Associate I,lower rate increase pay give shifts,simple work required,rate per hour slightly unreasonable due fact items heavy total it’s harder walk around pushing heavy cart,3,3,simple work required rate per hour slightly unreasonable due fact items heavy total it’s harder walk around pushing heavy cart,-0.1130952381,0.3784013605,negative
116,2024-12-03T00:00:00.000Z,4,REGULAR,Current employees,NEGATIVE,DISAPPROVE,NEGATIVE,1,1,1,1,,"Saint Louis, MO",Inbound Stower,humans lives outside work somebody’s child wife husband father mother grandparent robots machines use toss away whenever feel like us amazon one choices make living families,great benefits flexible lots different positions try incase don’t like main role free holiday meals year come leave work whenever want using unpaid time pto lay school offer career programs although tests get difficult,forced mandatory extra time met 5 days 11 12 hours regular shift 3 days 12 hours get forced cross trained get labor shares different departments wether like position high expectations making “rates” position managers anyone lead positions micromanage breathe neck always getting watched judged everyone shut minimal concern nobody cares care saving behind get hurt well better pray don’t amcare send doctor lie say weren’t hurt don’t pay injury sue departments strict find reasons write use break time get back station sign scan something end break get trouble use break time walking break area far restrooms don’t forget need use break time come back break time you’ll get trouble,1,3,great benefits flexible lots different positions try incase don’t like main role free holiday meals year come leave work whenever want using unpaid time pto lay school offer career programs although tests get difficult forced mandatory extra time met 5 days 11 12 hours regular shift 3 days 12 hours get forced cross trained get labor shares different departments wether like position high expectations making “rates” position managers anyone lead positions micromanage breathe neck always getting watched judged everyone shut minimal concern nobody cares care saving behind get hurt well better pray don’t amcare send doctor lie say weren’t hurt don’t pay injury sue departments strict find reasons write use break time get back station sign scan something end break get trouble use break time walking break area far restrooms don’t forget need use break time come back break time you’ll get trouble,0.01555555556,0.4190598291,negative
117,2024-12-02T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0,0,3,0,,"Orlando, FL",Picker,,lot hard work,care numbers,0,0,lot hard work care numbers,-0.2916666667,0.5416666667,negative
118,2024-11-30T00:00:00.000Z,2,PART_TIME,Current employees,NAN,APPROVE,POSITIVE,5,5,5,4,,"Ottawa, ON",Associate,,good base pay health benefits paid vacation,work heavy sometimes need physical strength,5,5,good base pay health benefits paid vacation work heavy sometimes need physical strength,-0.075,0.5607142857,negative
119,2024-11-29T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",NAN,APPROVE,POSITIVE,0,0,5,5,,"Coconut Creek, FL",Picker/Packer,focus employee wellbeing encourage balance productivity employee health consider frequent breaks ergonomic assessments wellness programs,employment stability competitive pay benefits diverse workforce,physical demands management challenges monotonous tasks high turnover rates fast spaced environment,0,5,employment stability competitive pay benefits diverse workforce physical demands management challenges monotonous tasks high turnover rates fast spaced environment,0.12,0.4276190476,positive
120,2024-11-27T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0,0,5,0,,"Charlotte, NC",Picking Associate,,paid hour u stay long enough u get better pay well least 1,ive heard treat ya like number robot,0,0,paid hour u stay long enough u get better pay well least 1 ive heard treat ya like number robot,0.0375,0.45,negative
121,2024-11-26T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",POSITIVE,NO_OPINION,POSITIVE,3,5,4,2,,"Calgary, AB",Dock Worker,,great benefits great people work,work physically demanding,5,5,great benefits great people work work physically demanding,0.5333333333,0.5476190476,positive
122,2024-11-23T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,4,3,4,3,,"Sioux Falls, SD",Reliability & Maintenance Engineering,,good pay company lovely colleagues,much heat lot noise,4,4,good pay company lovely colleagues much heat lot noise,0.4666666667,0.5166666667,positive
123,2024-11-20T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,2,1,2,3,,"St. Thomas, ON",Warehouse Worker,,good pay nice shift hours,politics partiality play major role,1,4,good pay nice shift hours politics partiality play major role,0.4541666667,0.7,positive
124,2024-11-19T00:00:00.000Z,2,REGULAR,Former employees,NAN,NAN,NAN,3,3,3,1,,"Dartford, England",Warehouse Operative,,flexible working schedules good pay,extremely physical employees treated machine sometimes,3,4,flexible working schedules good pay extremely physical employees treated machine sometimes,0.35,0.3714285714,positive
125,2024-11-18T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,1,1,1,1,,"Ottawa, ON",Warehouse Associate,treat associates respect dignity foster supportive environment especially challenging times ensure fair treatment employees including dealing workrelated injuries,good benefits valuable working experience opportunities learn grow,poor management support lack understanding personal hardships unfair treatment injured job highpressure environment unrealistic expectations times,1,1,good benefits valuable working experience opportunities learn grow poor management support lack understanding personal hardships unfair treatment injured job highpressure environment unrealistic expectations times,-0.14,0.7,negative
126,2026-03-14T00:00:00.000Z,3+,REGULAR,former employee,NEUTRAL,NEUTRAL,POSITIVE,4,4,5,5,5,"Charlotte, NC",Warehouse Associate,communicate employees,,airconditioning,4,5,airconditioning,0,0,negative
127,2026-03-08T00:00:00.000Z,3+,REGULAR,Former employee,NEUTRAL,POSITIVE,POSITIVE,3,5,5,5,5,"Moreland, GA",Associate,listen employees give 5 minute grace periods every employee robot,great benefits decent pay flexible schedules,management unfair work like robot wear tear body,5,5,great benefits decent pay flexible schedules management unfair work like robot wear tear body,0.1555555556,0.8055555556,positive
128,2026-03-26T00:00:00.000Z,<1,REGULAR,Current Employee,NAN,POSITIVE,POSITIVE,3,5,4,2,5,"Revere, MA",Associate,,clear expectations education benefits schedule flexibility,strict metrics physical toll limited interaction safety risks,3,3,clear expectations education benefits schedule flexibility strict metrics physical toll limited interaction safety risks,0.009523809524,0.223015873,negative
129,2026-03-10T00:00:00.000Z,,REGULAR,Former Employee,POSITIVE,NEGATIVE,NEGATIVE,1,4,1,1,1,"Springdale, OH",Process Assitant,,good pay,enough therapy,1,4,good pay enough therapy,0.35,0.55,positive
130,2026-03-03T00:00:00.000Z,,REGULAR,Current Employee,NAN,NAN,NAN,,,3,,,"Cambridge, ON",Associate,,good benefits,environment sucks,,,good benefits environment sucks,0.2,0.45,positive
131,2026-03-03T00:00:00.000Z,3+,REGULAR,Former employee,NAN,NAN,NAN,,,4,,,"Huntington Beach, CA",Associate,,crazy requirements,strict time rules,,,crazy requirements strict time rules,-0.6,0.9,negative
132,2026-02-27T00:00:00.000Z,,REGULAR,Former Employee,NAN,NAN,NAN,,,3,,,"Coventry, England",Associate,,good pay flexible hours,difficult getting transfer,,,good pay flexible hours difficult getting transfer,0.1,0.8,negative
133,2026-02-25T00:00:00.000Z,<1,SEASONAL,Former Employee,NEUTRAL,NEUTRAL,POSITIVE,4,5,4,3,5,"Etna, OH",Associate,,good pay time,feet majority day work slow,4,4,good pay time feet majority day work slow,0.2,0.5,positive
134,2026-02-09T00:00:00.000Z,3+,CONTRACT,Former Employee,NAN,NAN,NAN,2,3,3,4,2,"Stockton, CA",Associate,one clear source truth goals,many schedule options easy work based dept good pas ams werent bothering workers much,schedules based demand repetitive work becomes boring lots miscommunication,2,2,many schedule options easy work based dept good pas ams werent bothering workers much schedules based demand repetitive work becomes boring lots miscommunication,0.09722222222,0.5638888889,negative
135,2026-02-05T00:00:00.000Z,<1,REGULAR,Former Employee,NEGATIVE,NEGATIVE,NEGATIVE,1,2,1,1,4,"Chicago, IL",Associate,stop dirty carry company demands,flexible hours,hostile environment dirty managers team leads,1,1,flexible hours hostile environment dirty managers team leads,-0.6,0.8,negative
136,2026-02-04T00:00:00.000Z,<1,REGULAR,Former employee,NEGATIVE,NEGATIVE,NEGATIVE,1,3,3,3,4,"San Diego, CA",Associate,empathetic manage,stable hours great career pursuing academics pay goes every 6 months,management sometimes lack empathy lack upward mobility management sees number,1,3,stable hours great career pursuing academics pay goes every 6 months management sometimes lack empathy lack upward mobility management sees number,0.8,0.75,positive
137,2026-01-31T00:00:00.000Z,<1,REGULAR,Former Employee,NAN,NAN,NAN,,,5,,,"Hamilton, ON",Associate,,good pay ot,fast pace work long hours,,,good pay ot fast pace work long hours,0.2833333333,0.5333333333,positive
138,2026-01-29T00:00:00.000Z,3+,REGULAR,Current Employee,POSITIVE,NEUTRAL,POSITIVE,2,5,4,3,4,"Charlotte, NC",Associate,get closer eith people bellow,good pay opportunities growth,long hours mandatory ot peak seasons,4,5,good pay opportunities growth long hours mandatory ot peak seasons,0.325,0.5,positive
139,2026-01-28T00:00:00.000Z,,REGULAR,Former Employee,NAN,NAN,NAN,,,5,,,,Area Manager,,pay amazing balanced,work load demanding,,,pay amazing balanced work load demanding,0.6,0.9,positive
140,2026-01-28T00:00:00.000Z,,REGULAR,Former Employee,NAN,NAN,NAN,,,4,,,"Sacramento, CA",Associate,,work straightforward easy pick,shifts hours change depending demand making hard work around,,,work straightforward easy pick shifts hours change depending demand making hard work around,0.1722222222,0.5833333333,positive
141,2026-01-27T00:00:00.000Z,8+,REGULAR,Current Employee,NAN,NAN,NAN,,,4,,,"Houston, TX",Area Manager,,pay development learning different roles people oriented,work life balance hours worked hc stressful underperforming leader,,,pay development learning different roles people oriented work life balance hours worked hc stressful underperforming leader,0,0.6,negative
